Player,Team,W,L,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,2B,3B,HR,AB,BAVG,WP,HB,BK,SFA,SHA,GO,FO,WHIP
"FIGUEROA, Jose",PUR,0,0,1,0,0,0,0,1.2,5,4,4,1,0,2,0,0,9,0.556,1,0,0,1,0,1,4,5.0
"FRANCO, Enderson",VEN,0,1,6,0,1,0,0,4.0,4,2,2,3,6,0,0,2,15,0.267,0,0,0,0,0,3,2,1.75
"FUENTES, Steven",PAN,0,0,1,0,0,0,0,3.1,2,0,0,2,0,1,0,0,11,0.182,1,0,0,0,0,7,2,1.29
"FUJIHIRA, Shoma",JPN,0,0,6,0,1,0,0,6.0,4,0,0,0,12,1,0,0,22,0.182,0,1,0,0,0,5,1,0.67
"GARCIA, Jason",PUR,0,1,1,0,0,0,0,1.1,0,2,2,1,1,0,0,0,4,0.0,0,1,0,0,0,2,1,0.91
"GARCÍA, Pedro",VEN,0,0,3,0,0,0,0,1.2,2,3,3,2,0,0,0,1,7,0.286,0,0,0,0,0,1,4,3.33
"GOMEZ, Cesar",MEX,0,0,2,0,0,0,0,2.0,5,2,2,0,1,1,0,1,9,0.556,0,0,0,0,0,1,2,2.5
"GOMEZ, Miguel",PAN,0,0,1,0,0,0,0,1.0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,0,0,2,1,0.0
"GONZALEZ, Severino",PAN,0,0,1,0,0,0,0,2.1,3,2,2,1,3,0,0,0,10,0.3,0,0,0,0,0,1,3,1.9
"GONZALEZ, Victor",MEX,0,0,2,0,0,0,0,0.2,3,1,1,2,0,0,0,0,5,0.6,2,0,0,0,0,1,1,25.0
"GOSE, Anthony",USA,0,0,5,0,0,0,0,5.0,2,1,1,2,3,2,0,0,16,0.125,0,0,0,1,0,4,8,0.8
"GROTZ, Zac",USA,0,0,2,2,0,0,0,6.1,7,1,1,1,4,0,0,0,23,0.304,0,1,0,1,0,8,5,1.31
"GUERRERO, Alberto",PAN,0,0,2,0,0,0,0,2.1,2,2,2,1,0,1,0,0,8,0.25,0,0,0,0,0,4,2,1.43
"GUTIÉRREZ, Geonel",CUB,0,0,3,0,0,0,0,2.0,3,2,2,1,3,0,0,0,8,0.375,0,0,0,1,0,0,3,2.0
"GUYER, Josh",AUS,0,0,2,0,0,0,0,2.1,7,4,2,2,1,2,0,0,13,0.538,0,0,0,0,1,2,3,4.29
"GWAK, Been",KOR,0,0,1,1,0,0,0,4.0,3,0,0,3,5,0,0,0,14,0.214,0,0,0,0,0,4,2,1.5
"HAYAKAWA, Takahisa",JPN,0,0,2,2,0,0,0,9.1,7,7,7,10,10,2,1,0,34,0.206,0,0,0,0,0,10,7,1.87
"HENRY, Henry",DOM,0,0,2,0,0,0,0,3.0,5,2,2,4,3,0,0,0,13,0.385,0,0,0,0,0,3,2,3.0
"HERNANDEZ, Arnaldo",VEN,0,0,2,0,0,0,0,3.0,4,2,2,1,5,1,0,0,13,0.308,0,0,0,0,0,2,2,1.67
"HERNANDEZ, Kenny",PAN,1,0,2,0,0,0,0,5.0,5,2,2,0,5,0,0,1,20,0.25,0,0,0,0,0,5,4,1.0
"HERNANDEZ, Pavel",CUB,0,0,1,0,0,0,0,1.1,2,1,1,1,1,0,0,1,6,0.333,0,0,0,0,0,2,1,2.73
"HILL, Rich",USA,0,0,3,3,0,0,0,10.1,5,1,0,2,14,1,0,0,36,0.139,0,0,1,0,0,8,7,0.69
"HOLLAND, Sam",AUS,0,0,4,0,0,0,0,3.2,4,3,3,2,2,0,0,1,15,0.267,0,0,0,0,0,6,3,1.88
"HUANG, En-Sih",TPE,0,0,4,0,0,0,0,4.2,5,0,0,0,4,0,0,0,17,0.294,0,0,0,0,1,7,1,1.19
"HUANG, Tzu-Peng",TPE,1,1,3,3,0,0,0,12.0,5,2,2,1,9,0,0,1,39,0.128,0,0,0,0,0,14,11,0.5
"HUIJER, Lars",NED,0,0,1,1,0,0,0,1.0,2,4,4,4,2,1,0,0,4,0.5,0,0,0,1,0,0,1,6.0
"HUNTINGTON, Ryan",NED,0,0,2,0,0,0,0,1.2,2,3,0,0,1,1,0,0,8,0.25,0,1,0,0,0,2,2,1.67
"IBARRA, Jeff",MEX,0,0,2,0,0,0,0,0.2,2,0,0,1,0,1,0,0,3,0.667,0,0,0,1,0,0,2,15.0
"IM, Chan Kyu",KOR,0,0,1,1,0,0,0,3.0,5,3,3,2,3,1,0,1,13,0.385,0,0,0,0,0,4,1,2.33
"INOUE, Haruto",JPN,3,0,3,1,0,0,0,8.0,10,6,6,2,12,0,0,2,32,0.313,1,0,0,0,0,7,3,1.5
"JO, Byeonghyeon",KOR,0,0,2,0,0,0,0,2.2,4,2,2,0,1,1,0,1,12,0.333,0,0,0,0,0,5,2,1.82
"JUAN, Jorge",DOM,0,0,2,0,0,0,0,2.2,1,1,1,1,3,0,0,0,8,0.125,1,0,0,0,0,0,4,0.91
"JUNG, Haiyoung",KOR,0,0,2,0,0,0,0,1.1,2,1,1,1,1,1,0,1,6,0.333,0,0,0,0,0,3,0,2.73
"KELLY, Kevin",NED,0,0,2,0,0,0,0,9.0,3,2,2,3,7,2,0,0,28,0.107,1,1,0,1,0,6,13,0.67
"KENNEDY, Jon",AUS,0,0,3,0,0,0,0,3.0,5,2,0,1,4,0,0,0,13,0.385,0,0,0,0,2,4,1,2.0
"KENT, Steven",AUS,0,1,2,0,0,0,0,3.0,3,1,1,2,1,0,0,0,10,0.3,0,0,0,0,1,2,5,1.67
"KILOMÉ, Franklyn",DOM,0,0,1,1,0,0,0,5.0,1,0,0,0,5,0,0,0,16,0.063,0,0,0,0,0,6,4,0.2
"KIM, Seohyeon",KOR,0,0,4,0,0,0,0,4.0,3,0,0,3,4,0,0,0,12,0.25,0,0,0,0,0,4,1,1.5
"KIM, Taekyeon",KOR,0,0,3,0,0,0,0,1.1,4,3,3,0,0,0,0,2,8,0.5,0,0,0,0,0,2,2,3.64
"KITAYAMA, Koki",JPN,1,0,4,0,0,0,0,7.0,5,3,3,2,10,2,0,1,25,0.2,0,0,0,0,0,2,8,1.0
"KO, Youngpyo",KOR,0,1,2,2,0,0,0,5.2,6,6,6,2,4,1,0,2,23,0.261,0,0,0,0,0,11,2,1.54
"KUO, Chun-Lin",TPE,0,0,2,1,0,0,0,6.0,8,5,5,3,8,1,1,1,25,0.32,1,0,0,0,0,3,6,1.83
"KWAK, Dogyu",KOR,0,1,3,0,0,0,0,1.0,0,2,2,2,3,0,0,0,3,0.0,1,1,0,0,0,0,0,2.0
"LAWRENCE, Casey",USA,1,0,2,2,0,0,0,9.1,8,2,2,0,11,0,0,1,34,0.235,1,0,1,0,0,11,4,0.88
"LEE, Youngha",KOR,0,0,3,0,0,0,0,3.0,5,2,1,0,2,1,0,0,15,0.333,0,0,0,0,1,3,4,1.67
"LIN, Kai-Wei",TPE,0,0,5,0,0,0,0,5.0,4,1,1,0,5,0,0,1,18,0.222,0,1,0,0,0,5,4,0.8
"LIN, Yu-Min",TPE,0,0,2,2,0,0,0,8.2,3,2,2,3,6,1,0,0,29,0.103,0,1,0,0,0,10,9,0.73
"LÓPEZ, Víctor",DOM,0,0,3,0,0,0,0,2.2,3,1,1,0,2,0,0,0,10,0.3,1,0,0,1,0,1,4,1.36
"MARTINEZ, Raidel",CUB,0,0,1,0,1,0,0,1.0,0,0,0,0,2,0,0,0,3,0.0,0,0,0,0,0,1,0,0.0
"MARTIS, Shairon",NED,0,1,2,2,0,0,0,6.0,17,15,15,3,3,9,0,3,31,0.548,0,2,0,1,0,5,7,3.33
"MAURIS, Yankiel",CUB,0,0,2,0,0,0,0,2.0,4,3,3,1,2,0,1,0,10,0.4,0,0,0,0,1,5,0,2.5
"MCGRATH, Daniel",AUS,0,0,3,0,0,0,0,2.0,2,0,0,0,1,0,0,0,8,0.25,0,0,0,0,0,2,3,1.0
"MEDINA, Frank",CUB,0,0,1,0,0,0,0,0.1,1,1,1,1,0,0,0,0,2,0.5,0,0,0,0,0,1,0,20.0
"MENDEZ, Eric",NED,0,1,2,0,0,0,0,4.0,4,2,2,2,6,1,0,1,15,0.267,0,0,0,0,0,3,2,1.5
"MENDEZ, Yohander",VEN,0,0,3,0,0,0,0,3.1,2,0,0,2,2,1,0,0,12,0.167,0,2,0,0,0,2,6,1.29
"MENDOZA, Abdiel",PAN,1,0,2,0,0,0,0,2.1,2,1,1,1,0,0,0,0,9,0.222,2,0,0,0,0,6,1,1.43
"MENENDEZ, Antonio",USA,2,0,4,0,0,0,0,6.2,5,1,1,1,8,1,0,1,23,0.217,0,0,0,0,0,6,4,0.97
"MILLS, Zane",USA,1,0,3,0,0,0,0,2.1,2,2,2,2,2,0,0,1,9,0.222,0,1,0,0,0,2,3,1.9
"MIRANDA, Agnel",PUR,0,1,1,1,0,0,0,1.1,4,4,4,1,1,1,0,2,8,0.5,0,0,0,0,0,0,3,4.55
"MIRANDA, Kevin",PAN,0,0,1,0,0,0,0,3.1,4,0,0,1,4,2,0,0,14,0.286,0,0,0,0,0,3,3,1.61
"MIRANDA, Luis",MEX,0,1,2,1,0,0,0,4.2,9,8,8,1,4,2,0,2,23,0.391,2,1,0,0,0,7,3,2.38
"MOINELO, Livan",CUB,0,2,2,1,0,0,0,5.0,5,8,7,5,7,1,0,1,18,0.278,0,3,0,1,1,5,2,2.0
"MOSQUEDA, Oddanier",VEN,1,0,5,0,1,0,0,6.1,1,1,1,1,12,0,0,1,20,0.05,0,2,0,0,0,6,1,0.33
"NEUNBORN, Mitch",AUS,0,1,2,1,0,0,0,2.2,3,3,3,3,0,1,0,0,11,0.273,2,0,0,0,0,4,4,2.73
"OGANDO, Gerald",DOM,0,0,3,0,0,0,0,1.1,3,1,1,2,1,0,0,0,7,0.429,0,1,0,0,0,3,0,4.55
"OTA, Taisei",JPN,0,0,4,0,2,0,0,4.0,4,1,0,0,3,0,0,0,15,0.267,1,0,0,0,0,5,3,1.0
"PADRON, Yusniel",CUB,0,0,3,0,0,0,0,5.1,6,1,1,1,6,3,0,0,18,0.333,0,0,1,1,0,2,5,1.37
"PARK, Yeonghyun",KOR,1,0,3,0,1,0,0,3.2,2,0,0,0,6,0,0,0,11,0.182,0,0,0,0,0,2,1,0.63
"PATTON, Spencer",USA,0,0,5,0,0,0,0,4.0,8,5,4,1,5,0,1,0,20,0.4,0,0,0,0,0,3,4,2.25
"PERALTA, Wily",DOM,0,0,2,2,0,0,0,6.1,6,2,2,4,5,0,0,0,24,0.25,1,0,0,0,1,2,12,1.64
"PEREIRA, Wilfredo",PAN,0,0,1,1,0,0,0,3.0,4,2,2,2,3,0,0,2,13,0.308,0,0,0,0,0,3,3,2.0
"PEREZ, Jorge",MEX,0,0,1,1,0,0,0,4.1,7,3,3,1,2,1,1,1,19,0.368,0,0,0,0,0,9,1,1.95
"PINTO, Ricardo",VEN,2,0,3,3,0,0,0,10.1,9,3,3,5,8,2,0,0,39,0.231,0,0,0,0,0,11,11,1.39
"PRINS, Scott",NED,0,0,2,0,0,0,0,2.0,5,2,2,2,0,3,0,0,10,0.5,1,0,0,1,0,0,6,3.5
"PÉREZ, Héctor",DOM,0,1,3,0,0,0,0,1.2,2,5,3,4,2,0,0,0,7,0.286,1,0,0,0,0,2,1,5.0
"PÉREZ, Wilber",DOM,0,0,2,0,0,0,0,1.2,3,4,4,1,3,0,0,0,8,0.375,0,0,0,0,0,1,1,3.33
"RAMIREZ, Ruben",PUR,0,1,3,0,0,0,0,2.1,5,4,4,2,1,1,0,1,13,0.385,2,0,0,0,0,4,3,3.33
"REYES, Gerardo",MEX,0,0,3,0,0,0,0,2.1,1,0,0,0,2,0,1,0,7,0.143,0,1,0,0,0,0,4,0.48
"REYES, Leodan",CUB,0,1,3,0,0,0,0,3.1,2,2,1,3,4,0,0,0,11,0.182,0,0,0,0,0,4,1,1.61
"RIOS, Wilmer",MEX,0,0,1,1,0,0,0,2.2,6,4,4,1,2,4,0,0,14,0.429,0,0,0,0,0,3,3,3.18
"RODRIGUEZ, Dereck",PUR,0,0,2,1,0,0,0,3.1,6,3,3,1,3,0,0,1,16,0.375,0,0,0,0,0,3,4,2.26
"RODRIGUEZ, Luis",MEX,1,0,2,0,0,0,0,2.1,2,3,3,3,3,0,0,0,9,0.222,0,0,0,0,0,2,2,2.38
"RODRÍGUEZ, Dionys",DOM,0,0,2,0,0,0,0,4.0,3,1,1,1,2,0,0,0,12,0.25,0,1,0,1,0,3,5,1.0
"RODRÍGUEZ, Joely",DOM,1,0,2,0,0,0,0,1.1,3,2,0,2,3,2,0,0,8,0.375,1,0,0,0,0,1,0,4.55
"RODRÍGUEZ, Nivaldo",VEN,0,1,4,1,0,0,0,11.0,8,4,4,1,14,3,0,1,39,0.205,0,1,0,1,0,8,10,0.82
"RODRÍGUEZ, Ricardo",VEN,0,0,4,0,0,0,0,2.2,2,0,0,2,4,0,0,0,9,0.222,1,0,0,0,0,2,1,1.82
"SAIKI, Hiroto",JPN,1,0,2,2,0,0,0,10.2,5,2,2,3,10,1,0,1,36,0.139,0,1,0,0,0,10,11,0.78
"SALAS, Fernando",MEX,0,0,1,0,0,0,0,1.0,3,1,1,0,1,1,0,1,5,0.6,0,0,0,0,0,1,0,3.0
"SANCHEZ, Mario",VEN,1,1,2,2,0,0,0,8.2,4,4,3,4,12,1,0,1,27,0.148,0,0,0,2,0,6,7,0.98
"SANTIAGO, Andres",PUR,0,0,2,0,0,0,0,4.2,15,10,7,0,2,5,0,2,28,0.536,0,1,0,0,0,4,6,3.57
"SARDUY, Dario",CUB,0,0,2,1,0,0,0,1.1,4,2,2,1,1,0,0,0,7,0.571,1,0,0,1,0,2,1,4.55
"SAUPOLD, Warwick",AUS,0,0,2,1,0,0,0,5.0,2,1,1,1,4,0,0,0,17,0.118,0,0,0,0,0,4,7,0.6
"SHERRIFF, Will",AUS,0,0,2,0,0,0,0,3.0,4,4,4,3,1,0,0,1,13,0.308,0,1,0,0,0,5,3,2.33
"SHIMIZU, Tatsuya",JPN,1,0,4,0,0,0,0,4.0,1,0,0,1,6,0,0,0,13,0.077,0,0,0,0,0,3,2,0.5
"SO, Hyeongjun",KOR,2,0,3,0,0,0,0,3.2,3,1,1,1,3,0,0,0,14,0.214,0,1,0,0,0,4,4,1.25
"STANKIEWICZ, Teddy",MEX,0,0,2,1,0,0,0,6.0,7,4,4,1,5,2,0,1,24,0.292,0,0,0,0,0,6,6,1.33
"SULBARÁN, Juancarlos",NED,1,0,2,0,0,0,0,4.1,5,3,3,1,1,0,0,3,18,0.278,0,0,0,0,0,6,6,1.46
"SUMIDA, Chihiro",JPN,2,0,4,0,0,0,0,8.0,7,2,2,0,16,1,0,1,32,0.219,0,0,0,0,0,5,3,0.88
"SUZUKI, Shota",JPN,0,0,3,0,0,0,0,1.2,3,2,0,1,1,0,0,0,8,0.375,0,0,0,0,0,2,2,3.33
"SUZUKI, Sora",JPN,0,0,1,0,0,0,0,1.0,0,0,0,0,1,0,0,0,3,0.0,0,0,0,0,0,1,1,0.0
"TAKAHASHI, Hiroto",JPN,0,0,2,2,0,0,0,8.0,9,2,2,1,16,2,0,1,31,0.29,0,0,0,0,1,6,1,1.25
"THOMPSON, Darrell",USA,0,1,4,0,0,0,0,4.0,7,7,7,0,5,1,0,2,19,0.368,0,0,0,0,0,5,2,1.75
"THOMPSON, Jake",MEX,0,0,2,0,0,0,0,3.0,3,1,1,0,2,2,0,1,12,0.25,0,0,0,0,0,3,4,1.0
"THORPE, Lewis",AUS,0,1,2,1,0,0,0,1.1,4,3,3,3,0,1,0,0,6,0.667,0,0,0,1,0,0,3,6.36
"TIMMERMANS, Kaj",NED,0,1,1,1,0,0,0,2.1,5,5,5,1,2,0,0,2,10,0.5,0,0,0,1,0,2,2,2.86
"TOGO, Shosei",JPN,0,1,2,2,0,0,0,9.0,12,6,6,2,13,5,0,2,39,0.308,0,0,1,0,0,5,9,1.56
"TOUSSAINT, Touki",USA,0,0,2,2,0,0,0,6.0,4,1,1,3,9,2,0,1,21,0.19,0,1,0,0,0,5,3,1.17
"TOWNSEND, Blake",AUS,0,1,3,0,0,0,0,1.2,4,5,4,0,2,0,0,2,10,0.4,0,0,0,0,0,2,0,3.33
"VAN GURP, Franklin",NED,0,0,2,0,0,0,0,1.1,2,2,2,3,1,1,0,0,6,0.333,0,0,0,0,0,1,2,4.55
"VAN STEENSEL, Todd",AUS,0,0,3,0,0,0,0,3.1,2,1,1,0,3,0,0,0,12,0.167,0,0,0,0,0,4,3,0.65
"VARGAS GARCIA, Luis",DOM,0,1,1,1,0,0,0,2.1,3,2,2,1,0,0,1,1,9,0.333,0,0,0,0,0,2,4,1.9
"VARGAS, Andy",CUB,1,0,3,0,0,0,0,5.2,3,1,1,1,10,0,0,1,20,0.15,0,2,0,0,0,2,5,0.77
"VARGAS, Jesús",VEN,0,0,2,2,0,0,0,9.1,8,4,4,3,8,2,1,1,35,0.229,0,1,0,0,0,7,12,1.21
"VERNON, Austin",USA,0,0,4,0,0,0,0,3.2,2,1,1,1,4,0,1,1,13,0.154,0,0,0,0,0,6,1,0.94
"VIEAUX, Cam",USA,0,0,3,0,0,0,0,3.1,7,5,5,1,2,1,0,1,15,0.467,0,2,0,0,0,3,3,2.58
"VIJFVINKEL, Pim",NED,0,0,1,0,0,0,0,0.1,1,3,3,2,0,0,0,1,2,0.5,0,0,0,0,0,1,0,30.0
"VIZCAYA, Anthony",VEN,0,0,4,0,1,0,0,2.0,4,4,4,2,3,2,0,0,9,0.444,0,0,0,1,0,1,2,3.0
"WANG, Chih-Hsuan",TPE,1,0,5,0,0,0,0,3.0,3,1,1,0,2,2,0,0,11,0.273,0,0,0,1,0,2,5,1.0
"WILKINS, Luke",AUS,0,0,2,0,0,0,0,2.0,2,0,0,2,0,0,0,0,7,0.286,0,0,0,0,0,2,3,2.0
"WU, Chun-Wei",TPE,0,0,5,0,3,0,0,5.0,6,2,2,0,6,1,0,0,20,0.3,0,0,0,0,1,8,1,1.2
"WYNNE, Coen",AUS,1,0,4,0,0,0,0,4.0,3,1,1,0,4,1,0,0,14,0.214,0,1,0,0,0,6,1,0.75
"YERA, Yoennis",CUB,0,1,2,2,0,0,0,10.0,7,2,2,2,8,1,0,0,36,0.194,0,0,0,0,0,12,9,0.9
"YOKOYAMA, Rikuto",JPN,0,0,5,0,0,0,0,4.1,6,2,2,2,3,0,0,2,18,0.333,0,0,0,0,0,5,4,1.95
"YOU, Yeongchan",KOR,0,0,3,0,0,0,0,4.0,4,1,1,2,2,0,0,0,16,0.25,0,0,0,0,0,6,4,1.5
"ZARRAGA, Alfredo",VEN,0,0,3,0,0,0,0,1.2,2,2,2,5,3,1,0,0,7,0.286,0,0,0,0,0,1,1,5.83
